代,"天皇名の漢風諡号追号",読み,"天皇名の和風諡号御称号(幼名)別称",諱,画像,"諡号・追号の別諡号・追号の由来","在位期間（1872年以前の日付は旧暦）",備考,"生年月日 - 没年月日享年"
104,後柏原天皇,"ごかしわばら(ごかしはばら)",,勝仁,,"追号加後号","明応9年(1500年)10月25日- 大永6年(1526年)4月7日",,"寛正5年10月20日(1464年11月19日)- 大永6年4月7日(1526年5月18日)63歳没"
105,後奈良天皇,ごなら,,知仁,,"追号加後号","大永6年(1526年)4月29日-弘治3年 (1557年)9月5日",,"明応5年12月23日(1497年1月26日)- 弘治3年9月5日(1557年9月27日)61歳没"
106,正親町天皇,"おおぎまち(おほぎまち)",,方仁,,"追号在所(二条殿)の面する町名","弘治3年(1557年)10月27日- 天正14年(1586年)11月7日",,"永正14年5月29日(1517年6月18日)- 文禄2年1月5日(1593年2月6日)77歳没"
107,後陽成天皇,"ごようぜい(ごやうぜい)",,"和仁周仁",,"追号加後号","天正14年(1586年)11月7日- 慶長16年(1611年)3月27日",,"元亀2年12月15日(1571年12月31日)- 元和3年8月26日(1617年9月25日)47歳没"
108,後水尾天皇,"ごみずのお(ごみづのを)",,政仁,,"追号(遺諡)加後号","慶長16年(1611年)3月27日- 寛永6年(1629年)11月8日",,"文禄5年6月4日(1596年6月29日)- 延宝8年8月19日(1680年9月11日)85歳没"
109,明正天皇,"めいしょう(めいしゃう)",女一宮,興子,,"追号漢風諡号2つを合わせた追号(元明+元正)","寛永6年(1629年)11月8日- 同20年(1643年)10月3日",女帝。,"元和9年11月19日(1624年1月9日)- 元禄9年11月10日(1696年12月4日)73歳没"
110,後光明天皇,"ごこうみょう(ごくゎうみゃう)","素鵞宮(すがのみや)",紹仁,,"追号加後号","寛永20年(1643年)10月3日- 承応3年(1654年)9月20日",,"寛永10年3月12日(1633年4月20日)- 承応3年9月20日(1654年10月30日)22歳没"
111,後西天皇,ごさい,秀宮,良仁,,"追号加後号","承応3年(1654年)11月28日- 寛文3年(1663年)1月26日",,"寛永14年11月16日(1638年1月1日)- 貞享2年2月22日(1685年3月26日)48歳没"
112,"霊元天皇(靈元天皇)",れいげん,"高貴宮(あてのみや)",識仁,,"追号(遺諡)漢風諡号2つを合わせた追号(孝霊+孝元)","寛文3年(1663年)1月26日- 貞享4年(1687年)3月21日",,"承応3年5月25日(1654年7月9日)- 享保17年8月6日(1732年9月24日)79歳没"
113,東山天皇,ひがしやま,五宮,朝仁,,"追号山陵","貞享4年(1687年)3月21日- 宝永6年(1709年)6月21日",,"延宝3年9月3日(1675年10月21日)- 宝永6年12月17日(1710年1月16日)36歳没"
114,中御門天皇,なかみかど,"長宮(ますのみや)",慶仁,,"追号在所に近い宮門","宝永6年(1709年)6月21日- 享保20年(1735年)3月21日",,"元禄14年12月17日(1702年1月14日)- 元文2年4月11日(1737年5月10日)36歳没"
115,"桜町天皇(櫻町天皇)",さくらまち,若宮,昭仁,,"追号譲位後の在所","享保20年(1735年)3月21日- 延享4年(1747年)5月2日",,"享保5年1月1日(1720年2月8日)- 寛延3年4月23日(1750年5月28日)31歳没"
116,桃園天皇,ももぞの,"八穂宮(やほのみや)",遐仁,,"追号由来不詳","延享4年(1747年)5月2日- 宝暦12年(1762年)7月12日",,"寛保元年2月29日(1741年4月14日)- 宝暦12年7月12日(1762年8月31日)22歳没"
117,"後桜町天皇(後櫻町天皇)",ごさくらまち,"以茶宮(いさのみや)緋宮(あけのみや)",智子,,"追号加後号","宝暦12年(1762年)7月27日- 明和7年(1770年)11月24日",女帝。,"元文5年8月3日(1740年9月23日)- 文化10年閏11月2日(1813年12月24日)74歳没"
118,後桃園天皇,ごももぞの,,英仁,,"追号加後号","明和7年(1770年)11月24日- 安永8年(1779年)11月9日",,"宝暦8年7月2日(1758年8月5日)- 安永8年10月29日(1779年12月6日)22歳没"
119,光格天皇,"こうかく(くゎうかく)","祐宮(さちのみや)","師仁兼仁",,諡号,"安永8年(1779年)11月25日- 文化14年(1817年)3月22日",,"明和8年8月15日(1771年9月23日)- 天保11年11月18日(1840年12月11日)70歳没"
120,仁孝天皇,"にんこう(にんかう)","寛宮(ゆたのみや)",恵仁,,諡号,"文化14年(1817年)3月22日-弘化3年 (1846年)2月6日",,"寛政12年2月21日(1800年3月16日)- 弘化3年1月26日(1846年2月21日)47歳没"
121,孝明天皇,"こうめい(かうめい)","煕宮(ひろのみや)",統仁,,諡号,"弘化3年(1846年)2月13日- 慶応2年(1866年)12月25日",,"天保2年6月14日(1831年7月11日)- 慶応2年12月25日(1867年1月30日)37歳没"
122,明治天皇,"めいじ(めいぢ)","祐宮(さちのみや)",睦仁,,"追号一世一元の制による","慶応3年(1867年)1月9日- 明治45年(1912年)7月30日",,"嘉永5年9月22日(1852年11月3日)- 明治45年(1912年)7月30日59歳没"
123,大正天皇,"たいしょう(たいしゃう)","明宮(はるのみや)",嘉仁,,"追号一世一元の制による","大正元年(1912年)7月30日- 大正15年(1926年)12月25日",,"明治12年(1879年)8月31日- 大正15年(1926年)12月25日47歳没"
124,昭和天皇,"しょうわ(せうわ)","迪宮(みちのみや)",裕仁,,"追号一世一元の制による","昭和元年(1926年)12月25日- 昭和64年(1989年)1月7日","履中天皇(第17代)以降では、在位期間最長(62年2週間)。","明治34年(1901年)4月29日- 昭和64年(1989年)1月7日87歳没"
125,"（上皇）※追号・諡号ではない",,"継宮(つぐのみや)",明仁,,,"昭和64年(1989年)1月7日[表外参照 4]- 平成31年(2019年)4月30日","関東の地で即位した(東京都千代田区・皇居で即位の礼を行った)初の天皇。また、憲政史上初めて退位した天皇でもある","昭和8年(1933年)12月23日-86歳"
126,"（今上天皇）※追号・諡号ではない",,"浩宮(ひろのみや)",徳仁,,,令和元年(2019年)5月1日 -,戦後生まれで即位した初の天皇。,"昭和35年（1960年）2月23日-60歳"
